x,y,z,time,label
10.05668701,0.105380859,0.069455566,6-30,1
9.81,0.10298584,0.414338379,6-30,1
9.999206543,0.087418213,0.053887939,6-30,1
9.865085449,0.037122803,0.608334961,6-30,1
9.956096191,0.113763428,0.017962646,6-30,1
9.899813232,0.025147705,0.386795654,6-30,1
10.01597168,0.022752686,0.252674561,6-30,1
9.951306152,0.069455566,0.35685791,6-30,1
10.10099487,0.080233154,-0.128133545,6-30,1
10.05668701,0.020357666,0.270637207,6-30,1
10.03872437,0.0,-0.05269043,6-30,1
9.843530273,0.045505371,0.649050293,6-30,1
9.863887939,0.113763428,0.392783203,6-30,1
10.00040405,0.068258057,0.035925293,6-30,1
10.11296997,0.057480469,-0.092208252,6-30,1
10.16925293,0.037122803,0.135318604,6-30,1
9.91059082,0.093405762,0.349672852,6-30,1
9.7609021,0.065863037,0.752036133,6-30,1
10.09859985,0.086220703,-0.008382568,6-30,1
9.930948486,0.116158447,0.372425537,6-30,1
10.17883301,0.080233154,-0.043110352,6-30,1
10.09500732,0.085023193,0.135318604,6-30,1
9.819580078,0.064665527,0.488583984,6-30,1
10.0674646,0.112565918,0.094603271,6-30,1
10.01357666,0.114960938,-0.035925293,6-30,1
10.19320313,0.010777588,-0.119750977,6-30,1
9.818382568,0.085023193,0.741258545,6-30,1
10.25547363,0.116158447,-0.10418335,6-30,1
10.05668701,0.05269043,0.219144287,6-30,1
9.866282959,0.132923584,0.599952393,6-30,1
9.994416504,0.10418335,-0.057480469,6-30,1
9.891430664,0.056282959,0.319735107,6-30,1
10.20038818,0.081430664,-0.173638916,6-30,1
10.08901978,0.047900391,-0.056282959,6-30,1
9.880653076,0.079035645,0.368833008,6-30,1
10.21116577,0.021555176,-0.022752686,6-30,1
10.14769775,0.088615723,-0.085023193,6-30,1
10.19440063,0.05149292,-0.192799072,6-30,1
9.893825684,0.124541016,0.572409668,6-30,1
10.13572266,0.125738525,-0.10418335,6-30,1
10.14650024,0.099393311,0.159268799,6-30,1
9.86269043,0.118553467,0.622705078,6-30,1
9.80880249,0.160466309,0.668210449,6-30,1
10.14889526,0.033530273,-0.10178833,6-30,1
9.885443115,0.068258057,0.658630371,6-30,1
9.969268799,0.118553467,-0.005987549,6-30,1
9.80880249,0.073048096,0.76640625,6-30,1
10.15248779,0.123343506,-0.135318604,6-30,1
10.14290771,0.068258057,0.118553467,6-30,1
9.987231445,0.105380859,-0.116158447,6-30,1
9.782457275,0.081430664,0.542471924,6-30,1
10.10099487,0.055085449,-0.174836426,6-30,1
9.854307861,0.086220703,0.577199707,6-30,1
10.17284546,0.120948486,-0.129331055,6-30,1
9.762099609,0.10418335,0.550854492,6-30,1
9.81239502,0.10178833,0.626297607,6-30,1
9.953701172,0.081430664,-0.003592529,6-30,1
10.17883301,0.093405762,-0.091010742,6-30,1
10.03752686,0.028740234,-0.009580078,6-30,1
9.874665527,0.057480469,0.455053711,6-30,1
9.80760498,0.086220703,0.760418701,6-30,1
9.818382568,0.129331055,0.629890137,6-30,1
10.03153931,0.086220703,-0.00239502,6-30,1
10.0674646,0.045505371,0.213156738,6-30,1
10.08422974,0.088615723,0.077838135,6-30,1
10.21954834,0.008382568,0.014370117,6-30,1
9.789642334,0.059875488,0.613125,6-30,1
9.729766846,0.068258057,0.586779785,6-30,1
9.974058838,0.114960938,0.30776001,6-30,1
10.07225464,0.080233154,-0.026345215,6-30,1
9.848320313,0.077838135,0.702938232,6-30,1
10.05069946,0.069455566,0.193996582,6-30,1
9.850715332,0.082628174,0.645457764,6-30,1
9.837542725,0.129331055,0.652642822,6-30,1
10.12494507,0.088615723,-0.068258057,6-30,1
9.802814941,0.05029541,0.585582275,6-30,1
10.04710693,0.079035645,0.085023193,6-30,1
10.12374756,0.085023193,-0.166453857,6-30,1
9.836345215,0.076640625,0.690963135,6-30,1
10.1165625,0.047900391,-0.10418335,6-30,1
9.928553467,0.114960938,0.362845459,6-30,1
9.750124512,0.10178833,0.580792236,6-30,1
9.983638916,0.038320313,0.013172607,6-30,1
10.00040405,0.099393311,-0.037122803,6-30,1
10.05309448,0.05029541,0.20597168,6-30,1
9.849517822,0.091010742,0.76880127,6-30,1
10.27463379,0.065863037,-0.099393311,6-30,1
9.872270508,0.059875488,0.657432861,6-30,1
10.14410522,0.057480469,-0.168848877,6-30,1
9.713001709,0.126936035,0.634680176,6-30,1
10.01118164,0.120948486,-0.068258057,6-30,1
10.03632935,0.077838135,-0.10298584,6-30,1
10.06267456,0.027542725,0.214354248,6-30,1
9.952503662,0.077838135,0.276624756,6-30,1
10.22553589,0.077838135,0.05149292,6-30,1
9.783654785,0.108973389,0.474213867,6-30,1
10.03153931,0.094603271,0.289797363,6-30,1
10.02794678,0.076640625,0.015567627,6-30,1
10.10937744,0.132923584,-0.193996582,6-30,1
10.0926123,0.061072998,0.147293701,6-30,1
9.784852295,0.108973389,0.520916748,6-30,1
9.926158447,0.057480469,0.360450439,6-30,1
9.942923584,0.132923584,0.00119751,6-30,1
10.09500732,0.069455566,0.171243896,6-30,1
9.996811523,0.128133545,-0.061072998,6-30,1
9.821975098,0.116158447,0.651445313,6-30,1
10.19919067,0.091010742,-0.116158447,6-30,1
9.778864746,0.092208252,0.471818848,6-30,1
9.886640625,0.05029541,0.601149902,6-30,1
10.19440063,0.10059082,-0.079035645,6-30,1
10.07824219,0.063468018,-0.162861328,6-30,1
10.12374756,0.073048096,0.022752686,6-30,1
9.96567627,0.041912842,0.316142578,6-30,1
10.11177246,0.067060547,-0.10418335,6-30,1
9.880653076,0.064665527,0.668210449,6-30,1
10.18841309,0.037122803,0.039517822,6-30,1
9.75730957,0.114960938,0.526904297,6-30,1
9.691446533,0.083825684,0.61072998,6-30,1
